transaction_id,account_id,transaction_date,transaction_type,description,transaction_amount,transaction_reference_id,utr_number
c4614870-4c8b-f848-a501-f411f33f68fd,9e2769f5-462d-abef-e7e1-f9910427addf,2026-03-25 20:23:01,debit,EMI BAJAJ FINANCE LTD S968140715,25029.0,S968140715,
de5d7c4a-ccc5-cc4f-9c69-d9090da3a653,990edcf1-4f05-8adb-870d-1e0f81aa6040,2025-01-09 14:40:09,debit,FT -  S683806203 -  46195080318398 - SELECTION MOBILE,1000.0,S683806203,UTR277450732447
9ebc60c6-f728-2677-da27-b754c231664d,70e97dbb-4a7c-f5b5-a35e-b0a3f8a024fe,2025-06-03 16:57:36,debit,NEFT  - UTIB0512631 - S157465239 - 36670336229592 - NEW INDIA ELECTRONICS ANDHERI WEST,1699.0,S157465239,UTR286743245048
be945af0-eafc-84be-fa65-e83b3b066496,7e8b65b3-d3c6-f509-8284-3e2c80a4a131,2026-01-29 12:44:45,credit,CASH DEP S281714072,1000.0,S281714072,UTR920053668352
0bf55d7f-0300-27cf-eaeb-7cb713d2a78e,c35531ab-1955-b325-f04d-489229cfc5e7,2025-04-05 11:39:18,debit,LIC PREMIUM POLICY S960321650,10000.0,S960321650,
5b2ddec6-412d-2d9c-f887-e24f55981f8a,48689718-db91-ff42-fc42-e1d975d26d39,2026-04-30 11:43:36,debit,ADVANCE TAX INSTALMENT S483516011,4346.0,S483516011,
d5fe127e-66c6-24e4-69f1-594675c930f8,ca910918-6b96-bd3c-9e0e-37b8308f3310,2025-04-04 09:46:21,debit,IMPS/P2A/S93644089/ICIC/89707175310326/00/INET/SELECTRICITY TWO PRIVATE LIMITED,17665.79,S93644089,
c6a2b3cc-41b7-c413-31fe-0fb32f1561ba,9fa48b5a-d375-931e-f02f-2ffda8c35883,2026-06-12 08:27:56,debit,MAHANAGAR GAS S506604762,3389.0,S506604762,
efcbabc0-7600-3dcc-3d44-4281ab14a2c3,1195bfcd-6a20-5727-97d6-8b897bba88a6,2025-05-16 12:31:23,debit,MAHANAGAR GAS S618415265,500.0,S618415265,
ada23804-6f8b-ccfe-3cc4-ab81e7a5b7c3,bfbe6317-6c03-7798-c909-c1172a7fedea,2025-01-30 19:57:11,debit,UPI-MALABAR GOLD-XXXXXX6556-AUBL0040598-S187368034,10000.0,S187368034,UTR424315463874
8ec5f4a7-21f8-47a6-8261-8b2db66f9130,3f94cb60-6a97-2683-8b31-3a9f39d7fdae,2025-09-24 20:04:59,debit,EMI BAJAJ FINANCE LTD S968370206,41676.0,S968370206,UTR984591285074
6f73f4f6-59b8-0bd8-133e-00b40b6327cd,00ce5b6b-1c8d-afa8-c125-ccae2e3e5ca2,2025-12-06 18:19:23,debit,UPI-LAXMI TRADERS-XXXXXX6529-ICIC0657265-S657860324,6141.0,S657860324,UTR597526698092
4b724231-30e3-3003-3004-09967ed9ceeb,65294866-f2ad-1b71-df09-7db455eb9b67,2025-05-19 16:25:59,debit,NEFT/NA/KKBK/RENT PAYMENT NEHA RAO,10000.0,,
aba1f9af-baf0-8d6a-3bb6-7e8e2c6ffe5c,c5405cae-5642-8a3d-e44b-e97a9086655a,2025-02-03 19:02:55,debit,MSEB ELECTRICITY S118757993,681.0,S118757993,UTR587373265605
857fbf9e-7473-02da-5fc1-268ecc1294d1,bfbe6317-6c03-7798-c909-c1172a7fedea,2025-02-06 15:55:04,debit,IMPS/P2A/S539615547/HDFC/33816366180851/00/INET/SELECTRICITY TWO PRIVATE LIMITED SALT LAKE KOLKATA,1000.0,S539615547,UTR276182310963
a999be8d-e157-bdab-3656-fd53c9a8d167,a10c7abc-a8c7-74d7-84d9-958f39ef87ca,2026-01-21 16:37:24,debit,UPI-BATA INDIA LIMITED HINJEWADI PUNE-XXXXXX7530-KKBK0864402-S848750052,1000.0,S848750052,UTR557076990452
f19596a9-e44a-00c6-b670-a302f0f42469,feac3056-70f3-f95a-5223-3aff2fbd5e84,2026-05-09 20:35:23,debit,FT -  S532003731 -  1422683106827 - BLINKIT COMMERCE,3987.0,S532003731,UTR110236354581
66200dc7-144e-81ee-daef-bae4064fe36f,16fa116a-5f1d-74a9-8404-178bcf6ffcfe,2025-01-21 10:06:54,debit,UPI-STAR COMMUNICATION-XXXXXX424-AUBL0277725-S453191932,1000.0,S453191932,UTR676109160184
337b80ab-216d-6e42-6d96-8196a8fdf9a3,7ba1d9ac-84d7-970a-7de7-6de81bd1993d,2026-06-15 13:00:03,debit,EMI BAJAJ FINANCE LTD S910819267,32743.0,S910819267,
25669677-0be3-62a9-52db-2048df051e44,e71488ca-dbb7-0e47-ab0c-8561e18211b4,2025-04-25 12:29:09,debit,LIC PREMIUM POLICY S833583640,10413.5,S833583640,UTR693966152522
222ade0c-d11c-dec1-2520-51fd4e2155c8,6bf8dc55-bea9-4eb9-8168-a1fd644f79e5,2026-03-24 23:07:48,debit,NEFT  - SBIN0381349 - S647787439 - 33698555403083 - NEW HORIZON EXPORTS,48677.0,S647787439,
850ff9ca-9584-53d2-7042-194a0e2ce857,1195bfcd-6a20-5727-97d6-8b897bba88a6,2026-04-14 07:51:01,debit,IMPS OW/S208812670/PRIYA AGARWAL/KKBK/72248468374976,4650.0,S208812670,
e4b3c953-c980-8c73-152b-cf5f2826bc91,290b1e8e-6bb3-8bd1-a81b-ef5d7f2fa806,2026-05-28 17:19:33,debit,NEFT/S255432543/HDFC/RENT PAYMENT ANITA SINGH,10000.0,S255432543,UTR978326608173
dc782f63-6378-3820-538d-04ec4f3a3d38,b5382d70-faa8-3354-48d7-c29fbb34b263,2025-09-25 18:37:13,debit,ATM CASH WDL S563006715,1000.0,S563006715,UTR626436422402
4e6e7eec-a4e9-4df7-80fa-100550c7e3df,1195bfcd-6a20-5727-97d6-8b897bba88a6,2026-01-26 10:16:33,debit,IMPS charges,62.03,S561137324,UTR221255607866
34c93c83-5fd7-65eb-da69-063dd71962e6,5c91c106-652e-1928-bccd-cac274e0490d,2026-02-04 08:13:48,debit,FT -  S825594576 -  52870890070641 - BHARAT TRADING COMPANY HINJEWADI PUNE,73967.0,S825594576,UTR305132959166
66892de9-9661-b64d-a46d-be9e459ddc23,990edcf1-4f05-8adb-870d-1e0f81aa6040,2026-01-06 19:49:12,debit,CGST S762112419,18203.43,S762112419,
432d2879-9db6-cab8-f351-f0d5d59507b0,c7a58cd2-320c-03b9-ebf3-8c1087cafe3e,2025-07-05 16:34:38,debit,UPI-GANESH MOBILE WORLD-XXXXXX8195-ICIC0474562-S568355493,9617.0,S568355493,UTR508334279601
8f65ef96-b45c-575a-b8ab-e145e451702e,c35531ab-1955-b325-f04d-489229cfc5e7,2025-03-31 13:13:09,debit,ATM CASH WDL S425708708,1000.0,S425708708,UTR738799798745
eeaf9a62-ed58-99e8-7299-448b05dcc13c,32abf186-579b-ab8d-9c00-cfa3b0817915,2026-06-04 14:15:27,debit,IMPS/P2A/S853591335/CNRB/24066218976487/00/INET/VASUNDHARA REALTY VENTURES,6125.0,S853591335,
6ac67b8a-4f60-5875-2176-bd92bc07fb6b,70e97dbb-4a7c-f5b5-a35e-b0a3f8a024fe,2025-07-03 13:46:35,debit,IMPS/P2A/S307006384/AUBL/93706292759972/00/INET/NEW INDIA ELECTRONICS,3126.0,S307006384,
bcefb067-7739-f639-d3d2-13418e53025b,efc995bd-4e48-ec7d-4d9e-a6bbdc0a35c0,2025-04-08 11:33:50,debit,ATM CASH WDL S378065210,15667.0,S378065210,
73a5bcd8-8c10-32b6-f306-6c4e674e2f17,991465aa-18ea-4438-a073-42be86d97228,2025-12-11 11:17:23,debit,AIRTEL BROADBAND S99748006,1412.6,S99748006,UTR486193730218
625dc754-cad5-2820-9d9b-37865b12dc67,1195bfcd-6a20-5727-97d6-8b897bba88a6,2025-01-29 13:48:15,debit,JIO RECHARGE S922445127,2235.0,S922445127,UTR316852812971
6e73408d-d7e1-d31a-5846-1c6a53f53fd3,efc995bd-4e48-ec7d-4d9e-a6bbdc0a35c0,2025-03-22 08:34:04,debit,UPI-LENSKART SOLUTIONS-XXXXXX922-HDFC0810337-S30161326,1000.0,S30161326,
03613f3c-770c-360f-f610-b7db4e8617f8,a5ef5e70-3f29-5f83-8dd1-b501926b5b30,2026-06-25 20:31:12,debit,FT -  S946229903 -  97770307921933 - HOME CENTRE LIFESTYLE,10000.0,S946229903,UTR563348037554
f82d51a8-f52e-acef-b053-539a4a66a53b,f80026f2-ad7e-4fcf-2294-96d9f3f62e20,2025-08-19 11:43:50,credit,CASH DEP S179546869,1000.0,S179546869,
3ab4d982-336a-823f-0be1-f1fa4e8bc314,5c5e14b9-06f5-6886-69f7-565fc451f50d,2025-02-18 11:13:22,debit,UPI-SHREE BALAJI TRADERS-XXXXXX2625-UTIB0046461-S573607592,2364.24,S573607592,
2316cfd6-6d25-c7ab-0002-773ab44d8178,3d946a9e-9ef6-ed7e-adb6-fa79765c7ed2,2025-03-26 11:30:23,debit,NEFT/S926028856/TMBL/RENT PAYMENT GAUTAM PATEL,10000.0,S926028856,
6e3f3371-88ae-7857-4de6-0ae796e9da42,d1797c1e-a710-f46e-964a-0d9dd5801c35,2025-01-03 18:02:13,debit,GST PAYMENT CHALLAN S845410921,10000.0,S845410921,UTR323386019706
35d1e9a5-54f3-a4be-f7a7-fab99c72b5c4,94a587ec-07b5-088c-861a-c273c1c8f627,2026-02-23 12:25:25,debit,IMPS OW/NA/VIKRAM IYER/AUBL/38737791116324,11145.07,,UTR708775522483
a8a7ab13-14be-92f9-73d8-805302104bc3,feac3056-70f3-f95a-5223-3aff2fbd5e84,2025-08-06 11:31:44,credit,Cheque Deposits S487102130,17118.0,S487102130,
c2b987ef-e041-7f34-4b72-6358fce72c18,9e7e0a0b-9bb9-9ab8-d51f-1ef87468df19,2026-04-03 12:08:30,credit,NEFT  - SBIN0282004 - S977882525 - 16044010996147 - HERITAGE SILK HOUSE,10000.0,S977882525,UTR505350928100
a5d1b9c3-b9aa-a830-613f-690151286ef3,5ef41c22-5a1f-fe34-d94a-709fce93e58d,2024-12-30 18:44:24,debit,FT -  S267050077 -  75370308240870 - TANISHQ TITAN COMPANY ANDHERI WEST,1000.0,S267050077,UTR596726806834
8fde7c1b-27ee-ca76-65da-e486a647b321,c35e287e-941f-bd26-f880-760cdb5b33e0,2025-09-05 15:37:33,debit,NEFT  - ICIC0963562 - NA - 49748038378938 - METRO CASH AND CARRY ANDHERI WEST,5000.0,,UTR399667410344
0596dded-399e-7b34-fe41-15edc44b7ddb,0f3501c2-a686-7bd3-6a47-72e656415d4f,2025-09-09 09:54:50,debit,NEFT  - AUBL0168934 - S210954243 - 2322227903806 - NILGIRIS SUPERMARKET SAKET DELHI,5000.0,S210954243,
369b902e-19a6-cc95-9378-ecad51b08332,9ff790cb-4690-6031-2809-da1f1a57e88a,2025-11-21 10:51:35,debit,FT -  S433974134 -  34739616476620 - BLINKIT COMMERCE HINJEWADI PUNE,2403.19,S433974134,UTR590768579134
a6ffbfad-eb51-64b1-b76b-285d48718449,645e0bae-a2b4-1557-ecf9-cd30ede2d1d8,2025-03-21 11:41:40,debit,EMI BAJAJ FINANCE LTD S339831369,5000.0,S339831369,UTR692566126021
c42cfccf-becb-dd74-87c9-44c61220d45b,990edcf1-4f05-8adb-870d-1e0f81aa6040,2025-04-09 17:35:28,debit,FT -  S627906192 -  20548518085162 - BLINKIT COMMERCE,4655.0,S627906192,
63c9f7bb-1e37-46b0-bca0-dd4d7188ff90,cfe74a56-7953-a7e8-9b47-ee6c9b45b00f,2025-06-03 16:10:51,debit,FT -  S458040764 -  97713137192599 - KAMAL AUTO ANCILLARIES,10000.0,S458040764,UTR503615770064
f5240d86-7e83-8391-1218-c86975ce7490,645e0bae-a2b4-1557-ecf9-cd30ede2d1d8,2026-05-02 16:10:27,debit,JIO RECHARGE S201724761,500.0,S201724761,
7c42d259-a6a9-421d-7d33-bed2f80532ca,d1797c1e-a710-f46e-964a-0d9dd5801c35,2026-01-08 12:16:10,debit,EMI BAJAJ FINANCE LTD S338627403,5000.0,S338627403,UTR286805728267
82af613c-3aae-c204-420b-28c0577fc9d1,9ff790cb-4690-6031-2809-da1f1a57e88a,2025-02-20 13:05:23,credit,Cheque Deposits NA,10000.0,,
54232684-5b93-98d2-1be3-8c0bb3c189a6,7f78763f-f8eb-af07-1402-0a7046a2f1e5,2026-04-01 16:20:16,debit,UPI-APOLLO PHARMACY-XXXXXX8028-HDFC0162433-S219163718,38876.0,S219163718,UTR592881427018
23fd12ff-bc1b-cf67-a3b9-f321df0f6715,884d61ba-9d95-d007-73ae-18e27d17badd,2026-05-27 17:07:19,debit,FT -  S419574044 -  57066730059700 - DMART AVENUE SUPERMARTS,26029.0,S419574044,UTR949768493389
522ba26b-45c7-5c76-24c5-28055ae75819,2c983fdf-9d3e-526c-b8c3-bbe002254c3e,2025-09-18 17:24:31,debit,NEFT  - UBIN0951476 - NA - 69123980139032 - CROMA A DIVISION OF INFINITI,6738.0,,
c5444e37-b6aa-e322-f871-f652f7c45b91,34b09b1f-fba5-0c1a-3787-d0a519ac6f58,2026-02-16 11:21:02,debit,FT -  S772406000 -  61549679053019 - SPENCERS RETAIL LTD,1000.0,S772406000,UTR154401138921
aaf7f0f9-35ec-22d6-9c4c-32f414510ed7,25bdb510-07e8-97cc-04b8-570016f8a107,2025-03-04 19:53:05,debit,SGST S329807148,54105.99,S329807148,UTR746958305456
d04a278a-2dab-9b31-834d-6fb45910e4b3,10364b90-3358-0fe7-f0ea-601aeddd9a2e,2026-03-11 21:10:02,debit,UPI-MORE MEGASTORE-XXXXXX7550-UTIB0562416-S680988268,12494.18,S680988268,
f7b71743-0d40-4e22-f1a8-97993c8610c2,1c586ccd-563c-3aff-a8f4-dbc643bb23ce,2026-05-23 12:01:19,debit,IMPS OW/S179869310/VIKRAM RAO/RATN/88614422442863,10000.0,S179869310,UTR783389424319
9bc23c72-22de-35f2-7a62-ead5bee17836,7ba1d9ac-84d7-970a-7de7-6de81bd1993d,2025-06-29 09:12:14,debit,IMPS OW/S136403312/MOHAMMED JOSHI/HDFC/65314152533204,32793.0,S136403312,
ef00a19f-7d48-08cf-287e-f2cbe78d9827,81188b5a-2ff9-6574-a9a4-8f890c5bcea2,2025-05-15 12:17:31,debit,ATM CASH WDL S228948282,1000.0,S228948282,UTR410947242147
f0336a26-bb02-ffa4-2567-bd076b4e8913,493a655e-46b5-8698-aebe-185de295743e,2025-07-02 13:22:17,credit,REV/S569760519/UPSTOX S569760519,5000.0,S569760519,
de2b21b5-8965-d9ba-d490-0095b51fa37f,3d810256-bc19-4ac6-dd5e-5731eeed6b51,2025-04-30 16:25:11,credit,Cheque Deposits S932172416,7784.0,S932172416,UTR197313795160
47aa194c-8b54-1e74-47db-b9e967c2dc7d,995c9447-5b04-d130-1a44-b28ce8101133,2026-06-02 11:41:31,debit,FT -  S268037941 -  65833299360467 - AMBIKA TRADING CO KORAMANGALA,10000.0,S268037941,
4d0245aa-8e6b-7f19-dd23-1a0d0b901b44,db31d2f1-3043-8474-a7e7-48a809fa8d6f,2025-09-05 13:04:35,debit,NEFT  - KKBK0894067 - S509924292 - 9656699936022 - JAI HIND PROVISION,19261.0,S509924292,
d2eba042-99c6-c3cb-296d-ba7bf020366e,a5ef5e70-3f29-5f83-8dd1-b501926b5b30,2025-01-09 15:44:18,debit,BESCOM ELECTRICITY S172378264,2213.0,S172378264,UTR918396380254
0287ada8-ffa3-13c0-88e3-b68ff74c58e4,2d25a399-f561-4220-2d3a-0c1bce7025a7,2026-03-13 14:53:42,credit,IMPS OW/S819743292/ARJUN SINGH/AUBL/88100318943050,80530.17,S819743292,
b1b12159-ac61-7610-8c5b-e6b31fcf9618,1c586ccd-563c-3aff-a8f4-dbc643bb23ce,2025-11-26 15:08:06,debit,IMPS OW/S375067339/NEHA SINGH/ICIC/25926442935185,63726.0,S375067339,UTR778717519909
e29e6241-3cd3-d714-f567-0ad77e2922e4,b47cba56-41f2-e681-cf7e-3857edb3e433,2026-06-19 15:33:24,debit,AMC FEE S201946284,10.0,S201946284,UTR869937174484
6445291c-fea5-4fc3-e5fa-35d125f356fb,db31d2f1-3043-8474-a7e7-48a809fa8d6f,2025-08-21 12:36:58,debit,IMPS OW/S28914281/VIKRAM MENON/SBIN/47878400205318,38542.0,S28914281,UTR414435631839
2e382a3d-e328-135a-044c-8b5c1043f028,9175e46d-2c3c-df9e-83bf-7fedd8cd8938,2026-04-12 21:42:54,debit,IMPS OW/S756370889/RAJESH RAO/ICIC/53521510334603,10709.0,S756370889,UTR384670390730
5dedba1c-1e04-271f-8a22-399f226f314d,f304e67b-3774-9031-56f8-ef60b8961d21,2025-09-23 16:18:52,debit,JIO RECHARGE S650530815,1834.0,S650530815,
ab494aa7-6973-e31e-5e76-8c5eef647bc9,9ff790cb-4690-6031-2809-da1f1a57e88a,2025-06-10 16:05:48,debit,DEMAT AMC S11862323,6718.0,S11862323,
8cfb3126-7cd8-6892-3b88-2b13064b0ca0,3f94cb60-6a97-2683-8b31-3a9f39d7fdae,2026-05-01 09:03:12,debit,UPI-HP FUEL STATION-XXXXXX9691-HDFC0662348-S677214140,18462.0,S677214140,UTR793254792655
aef621ee-0bcd-9a03-6bd7-492234e91cf6,dcd007a7-c482-bb32-a45d-036873c6a689,2026-05-22 01:38:46,credit,REV/S407405601/EMI BAJAJ FINANCE LTD S407405601,30512.0,S407405601,UTR163599025530
7581d6e5-3ba9-8901-ac3f-4712ab4603aa,290b1e8e-6bb3-8bd1-a81b-ef5d7f2fa806,2026-03-18 15:49:32,credit,ZERODHA BROKING S520974932,1000.0,S520974932,
0d6a8e24-53d7-71c5-8a5b-a6a40e394136,990edcf1-4f05-8adb-870d-1e0f81aa6040,2025-04-18 10:38:23,credit,JIO RECHARGE S942720757,500.0,S942720757,
0300f25f-6bc7-6cf1-85f4-347faec41453,9175e46d-2c3c-df9e-83bf-7fedd8cd8938,2025-03-26 14:30:24,debit,FT -  S817992349 -  83519657312355 - AMBIKA TRADING CO,194131.82,S817992349,
5093cb07-ac8d-236d-377e-a640577fe4b5,f304e67b-3774-9031-56f8-ef60b8961d21,2025-11-25 10:47:24,debit,UPI-ANNAPURNA STORES-XXXXXX7078-HDFC0812439-S707972395,5000.0,S707972395,
70ffb4d3-82ce-7752-cf3a-505189edcea7,feacccb6-5897-a381-bbf1-03d141b88471,2025-08-29 12:23:55,debit,UPI-NAVYUG SELECTION-XXXXXX852-KKBK0018659-S610994716,3365.0,S610994716,UTR937863668257
8b02eb0b-3edd-ac3c-2862-171b79fdbc07,9ff790cb-4690-6031-2809-da1f1a57e88a,2026-06-30 07:45:15,debit,FT -  S391600575 -  39329832059910 - INDIAN OIL PETROL PUMP,5000.0,S391600575,
237f2dd8-d372-11a3-c1cf-85daa1cffced,bc900de2-1803-ca20-715e-b7a0b6ad9cb0,2025-08-02 13:47:47,debit,MAHANAGAR GAS S682792183,1000.0,S682792183,UTR454614460687
92d0e5f8-db9a-cba8-a3dd-13f93047e401,b5e2ad64-1673-22b2-2ef4-45e2eab06ab1,2025-02-07 11:23:58,credit,IMPS/P2A/S14536300/UBIN/43955365515522/00/INET/WELLNESS HERBAL PRODUCTS,13013.0,S14536300,
